CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Segment
28389,29,1,3756.99,1,3,4,Loyal
27601,33,1,3953.99,1,3,4,Loyal
27612,34,1,3953.99,1,3,4,Loyal
25861,37,1,3756.99,1,3,4,Loyal
27577,37,1,3953.99,1,3,4,Loyal
27666,37,1,3953.99,1,3,4,Loyal
27604,38,1,3953.99,1,3,4,Loyal
27578,45,1,3953.99,1,3,4,Loyal
27614,47,1,3953.99,1,3,4,Loyal
27649,47,1,3953.99,1,3,4,Loyal
25857,50,1,3756.99,1,3,4,Loyal
29385,50,1,3756.99,1,3,4,Loyal
28390,55,1,3729.36,1,3,4,Loyal
27605,57,1,3953.99,1,3,4,Loyal
27611,57,1,3953.99,1,3,4,Loyal
26620,58,1,772.5,1,2,3,Potential
19802,58,1,3729.36,1,3,4,Loyal
27673,59,1,3953.99,1,3,4,Loyal
28018,61,1,3953.99,1,3,4,Loyal
27726,66,1,3953.99,1,3,4,Loyal
28014,66,1,3953.99,1,3,4,Loyal
28040,70,1,3953.99,1,3,4,Loyal
28039,71,1,3953.99,1,3,4,Loyal
28017,73,1,3953.99,1,3,4,Loyal
28042,74,1,3953.99,1,3,4,Loyal
27681,77,1,3953.99,1,3,4,Loyal
28022,77,1,3953.99,1,3,4,Loyal
28047,77,1,3953.99,1,3,4,Loyal
26629,78,1,772.5,1,2,3,Potential
28044,78,1,3953.99,1,3,4,Loyal
27678,79,1,3953.99,1,3,4,Loyal
27759,79,1,3953.99,1,3,4,Loyal
27917,80,1,3953.99,1,3,4,Loyal
28041,89,1,3953.99,1,3,4,Loyal
28145,92,1,3953.99,1,3,4,Loyal
28172,93,1,3953.99,1,3,4,Loyal
28168,94,1,3953.99,1,3,4,Loyal
28181,94,1,3953.99,1,3,4,Loyal
28182,95,1,3953.99,1,3,4,Loyal
28186,95,1,3953.99,1,3,4,Loyal
28088,96,1,3953.99,1,3,4,Loyal
28185,96,1,3953.99,1,3,4,Loyal
28112,97,1,3953.99,1,3,4,Loyal
28179,97,1,3953.99,1,3,4,Loyal
28183,97,1,3953.99,1,3,4,Loyal
28097,99,1,3953.99,1,3,4,Loyal
28164,104,1,3953.99,1,3,4,Loyal
28096,105,1,3953.99,1,3,4,Loyal
28150,105,1,3953.99,1,3,4,Loyal
28149,106,1,3953.99,1,3,4,Loyal
28162,107,1,3953.99,1,3,4,Loyal
28170,108,1,3953.99,1,3,4,Loyal
28148,109,1,3953.99,1,3,4,Loyal
28180,109,1,3953.99,1,3,4,Loyal
28166,110,1,3953.99,1,3,4,Loyal
28401,111,1,3729.36,1,3,4,Loyal
28184,112,1,3953.99,1,3,4,Loyal
28163,113,1,3953.99,1,3,4,Loyal
28167,115,1,3953.99,1,3,4,Loyal
28142,116,1,3953.99,1,3,4,Loyal
28171,117,1,3953.99,1,3,4,Loyal
